"id","murmur32","md5","sha512","sha1","sha256","crc32","xxhash32","spookyhash"
490,7,9,2,8,8,3,7,9
491,4,6,6,3,10,6,5,6
492,1,11,4,7,5,28,9,7
493,12,12,5,4,4,14,9,9
494,10,8,12,11,8,12,4,12
495,10,6,6,6,16,10,8,4
496,11,0,7,7,6,6,6,5
497,8,13,5,5,4,8,3,3
498,7,15,5,8,6,9,10,12
499,0,11,15,10,8,8,4,9
500,11,2,5,7,5,13,5,1
